Title,Year,Score
The Godfather,1972,97
Casablanca,1942,99
L.A. Confidential,1997,99
Seven Samurai,1954,100
Parasite,2019,99
Schindler's List,1993,98
Top Gun: Maverick,2022,96
Chinatown,1974,98
On the Waterfront,1954,99
Toy Story 2,1999,100
Rear Window,1954,99
The Battle of Algiers,1966,99
Modern Times,1936,98
Finding Nemo,2003,99
How to Train Your Dragon,2010,99
Toy Story 3,2010,98
Up,2009,98
All About Eve,1950,99
Godzilla Minus One,2023,99
Toy Story,1995,100
Singin' in the Rain,1952,100
The Wrestler,2008,99
Spotlight,2015,97
A Separation,2011,99
Spider-Man: Into the Spider-Verse,2018,97
12 Angry Men,1957,100
The Philadelphia Story,1940,100
Spirited Away,2001,96
Inside Out,2015,98
The Third Man,1949,99
Coco,2017,97
Zootopia,2016,98
Sunset Boulevard,1950,98
Citizen Kane,1941,99
"The Godfather, Part II",1974,96
Selma,2014,99
Mission: Impossible - Fallout,2018,98
Cool Hand Luke,1967,100
Toy Story 4,2019,96
Shoplifters,2018,99
Three Colors: Red,1994,100
Annie Hall,1977,97
Knives Out,2019,97
Let the Right One In,2008,98
Paddington 2,2017,99
The Wizard of Oz,1939,98
Dr. Strangelove Or: How I Learned to Stop Worrying and Love the Bomb,1964,98
Jaws,1975,97
M,1931,100
The Lord of the Rings: The Two Towers,2002,95
Psycho,1960,97
The Maltese Falcon,1941,99
Alien,1979,93
North by Northwest,1959,97
The Holdovers,2023,97
Double Indemnity,1944,97
It Happened One Night,1934,98
The Wild Robot,2024,97
All About My Mother,1999,98
The Kid,1921,100
Bicycle Thieves,1948,99
Short Term 12,2013,98
Get Out,2017,98
The 400 Blows,1959,99
Metropolis,1927,97
"Crouching Tiger, Hidden Dragon",2000,98
The Wages of Fear,1953,100
Grave of the Fireflies,1988,100
Argo,2012,96
Portrait of a Lady on Fire,2019,97
Mission: Impossible - Dead Reckoning Part One,2023,96
Before Sunrise,1995,100
The Last Picture Show,1971,98
The Dark Knight,2008,94
Mad Max: Fury Road,2015,97
The Treasure of the Sierra Madre,1948,100
The Big Sick,2017,98
"The Good, the Bad and the Ugly",1966,97
Tampopo,1985,100
The Gold Rush,1925,98
A Hard Day's Night,1964,98
Your Name,2016,98
The Pianist,2002,95
Tokyo Story,1953,100
Harry Potter and the Deathly Hallows: Part 2,2011,96
Pather Panchali,1955,98
The Best Years of Our Lives,1946,98
Kind Hearts and Coronets,1949,100
All Quiet on the Western Front,1930,98
Spider-Man: Across the Spider-Verse,2023,95
Once,2007,97
Witness for the Prosecution,1957,100
His Girl Friday,1940,99
The Shop Around the Corner,1940,99
Nights of Cabiria,1957,100
Laura,1944,100
Fanny and Alexander,1982,100
The Social Network,2010,96
Stalker,1979,100
A Man Escaped,1956,100
Army of Shadows,1969,97
"Rome, Open City",1945,100
Good Will Hunting,1997,97
La Strada,1954,98
Goodfellas,1990,93
Rebecca,1940,98
The Silence of the Lambs,1991,95
The Terminator,1984,100
Ikiru,1952,98
Le Samouraï,1967,92
Beauty and the Beast,1991,95
Anatomy of a Murder,1959,100
"Monsters, Inc.",2001,96
Eighth Grade,2018,99
12 Years a Slave,2013,95
Pan's Labyrinth,2006,95
The Lady Eve,1941,99
Hunt for the Wilderpeople,2016,97
007: Goldfinger,1964,99
Lady Bird,2017,99
Persepolis,2007,96
Star Trek,2009,94
Hell or High Water,2016,97
Memento,2000,94
Catch Me if You Can,2002,96
Star Wars: Episode IV - A New Hope,1977,94
Shadow of a Doubt,1943,100
Mr. Smith Goes to Washington,1939,97
Ratatouille,2007,96
Brooklyn,2015,97
Saving Private Ryan,1998,94
The Lavender Hill Mob,1951,100
Raiders of the Lost Ark,1981,94
WALL-E,2008,95
I Am Cuba,1964,100
Maria Full of Grace,2004,97
Ali: Fear Eats the Soul,1974,100
The Iron Giant,1999,96
The Passion of Joan of Arc,1928,98
The King's Speech,2010,94
Spider-Man: No Way Home,2021,93
The Bridge on the River Kwai,1957,96
The Farewell,2019,97
The Adventures of Robin Hood,1938,100
Whiplash,2014,94
Meet Me in St. Louis,1944,99
The Insider,1999,96
Monty Python and the Holy Grail,1975,92
Das Boot,1981,98
Pinocchio,1940,100
Star Wars: Episode V - The Empire Strikes Back,1980,93
Dog Day Afternoon,1975,96
Aladdin,1992,96
Avengers: Endgame,2019,94
Rashomon,1950,98
Touch of Evil,1958,96
Iron Man,2008,94
Little Women,2019,95
The Handmaiden,2016,96
The Band's Visit,2007,98
Ran,1985,96
The Hurt Locker,2008,96
The Red Shoes,1948,98
Leave No Trace,2018,100
Casino Royale,2006,94
Top Hat,1935,100
The Conformist,1970,98
The Artist,2011,95
Unforgiven,1992,96
King Kong,1933,97
Strangers on a Train,1951,98
Halloween,1978,97
Paths of Glory,1957,96
A Prophet,2009,96
Children of Paradise,1945,98
Before Sunset,2004,94
Sunrise,1927,98
Quiz Show,1994,97
Pulp Fiction,1994,92
A Beautiful Day in the Neighborhood,2019,95
Puss in Boots: The Last Wish,2022,95
The LEGO Movie,2014,96
Soul,2020,95
One Flew Over the Cuckoo's Nest,1975,93
Creed,2015,95
Sweet Smell of Success,1957,98
La Haine,1995,96
Kubo and the Two Strings,2016,97
The Princess Bride,1987,96
Starred Up,2013,99
John Wick: Chapter 4,2023,94
Eternal Sunshine of the Spotless Mind,2004,93
Monsieur Lazhar,2011,98
Aliens,1986,94
Sideways,2004,97
The Lion King,1994,92
Life of Brian,1979,96
Before Midnight,2013,98
A Fistful of Dollars,1964,98
Sullivan's Travels,1941,100
BlacKkKlansman,2018,96
Fargo,1996,94
The Grapes of Wrath,1940,100
The Lost Weekend,1945,97
Sing Street,2016,95
Boyhood,2014,97
8 1/2,1963,97
Battleship Potemkin,1925,100
Marriage Story,2019,95
Lost in Translation,2003,95
The French Connection,1971,97
The Lord of the Rings: The Fellowship of the Ring,2001,92
Once Upon a Time in the West,1968,96
The Lord of the Rings: The Return of the King,2003,94
Moana,2016,95
Sling Blade,1996,97
Grand Illusion,1937,97
The Thin Man,1934,98
The Diving Bell and the Butterfly,2007,94
The Discreet Charm of the Bourgeoisie,1972,98
The Truman Show,1998,94
The Red Circle,1970,96
Ford v Ferrari,2019,92
Three Colors: Blue,1993,97
The Straight Story,1999,95
Au Hasard Balthazar,1966,100
True Grit,2010,95
Room,2015,93
Mother,2009,96
Rosemary's Baby,1968,97
Local Hero,1983,100
Oppenheimer,2023,93
Diabolique,1955,95
Logan,2017,93
Playtime,1967,98
A Quiet Place,2018,96
A Night at the Opera,1935,97
Tim Burton's The Nightmare Before Christmas,1993,95
In the Mood for Love,2000,92
In the Heat of the Night,1967,96
Hidden Figures,2016,93
Umberto D,1952,98
My Left Foot,1989,98
Bringing Up Baby,1938,97
Sense and Sensibility,1995,97
Call Me by Your Name,2017,95
Air,2023,93
Brazil,1985,98
Dune: Part Two,2024,92
Shaun of the Dead,2004,92
Yojimbo,1961,96
The Sting,1973,93
Roman Holiday,1953,96
The Departed,2006,91
Boyz N the Hood,1991,96
Lawrence of Arabia,1962,93
The Manchurian Candidate,1962,97
Day for Night,1973,98
Badlands,1973,97
Amores perros,2000,93
The Triplets of Belleville,2003,94
It's a Wonderful Life,1946,94
The Lives of Others,2006,92
Some Like It Hot,1959,95
Princess Mononoke,1997,94
Guardians of the Galaxy,2014,92
The Bourne Ultimatum,2007,92
Almost Famous,2000,91
Young Frankenstein,1974,95
Back to the Future,1985,93
This Is Spinal Tap,1984,98
Wild Tales,2014,94
Die Hard,1988,94
Aguirre: The Wrath of God,1972,96
To Be or Not to Be,1942,96
The Apartment,1960,93
City of God,2002,91
White Heat,1949,94
The Big Sleep,1946,96
Andrei Rublev,1966,96
City Lights,1931,95
Being There,1979,95
Hotel Rwanda,2004,91
Shang-Chi and the Legend of the Ten Rings,2021,92
Breathless,1959,95
Wings of Desire,1987,95
Marvel's the Avengers,2012,91
Run Lola Run,1998,94
Throne of Blood,1957,96
All the President's Men,1976,94
Raging Bull,1980,92
Spider-Man: Far From Home,2019,91
The Hidden Fortress,1958,96
Apocalypse Now,1979,90
Beauty and the Beast,1946,96
The Killing,1956,96
Amélie,2001,90
"Steamboat Bill, Jr.",1928,96
Central Station,1998,94
Taxi Driver,1976,89
